"Year","rtCode","ptCode","NW_M","TV_M","NW_X","TV_X","UV_M","UV_X","metaData"
2013,470,498,1948000,498454.6502488,1948000,448609.18522392,255.8802106,230.29218954,"mirrored export for non-reporter"
2013,470,528,0,0,3082,3172.72996475,0,1029.43866474692,NA
2013,470,642,7237639,1547010.6533574,13861686,3517946.82,213.74520798252,253.789244684954,NA
2013,470,699,93025,32504.7415714,93025,26051.77831876,349.41942027842,280.051365963558,NA
2013,470,792,500,611.1957362,0,0,1222.3914724,0,NA
2013,470,826,14075,9089.7135952,2000,2394.55235915,645.805584028419,1197.276179575,NA
2013,474,76,3328181,680653.6,3328181,618776,204.512194499037,185.920176817307,"mirrored import for non-reporter"
2013,478,32,0,0,4200000,1155000,0,275,NA
2013,478,384,0,0,72222.2222222222,3039.405,0,42.0840692307692,NA
2013,478,724,0,0,1250,2987.9414775,0,2390.353182,NA
2013,478,784,13640,4239.2565,13640,3815.33085,310.795931085044,279.71633797654,"mirrored export for non-reporter"
2013,480,32,69623560,21921022.5639481,63653560,16945027,314.850641994579,266.207058961038,NA
2013,480,175,1286400,510314.29257438,0,0,396.69954335695,0,NA
2013,480,251,581,2436.79987837,0,0,4194.14781130809,0,NA
2013,480,450,160998,65739.67295984,113800,40289.10012119,408.326022434068,354.034271715202,NA
2013,480,458,65,206.5719722,0,0,3178.03034153846,0,NA
2013,480,600,29895025,8690317.12414129,29895025,7821285.41172716,290.694425716028,261.624983144425,"mirrored export for non-reporter"
2013,480,620,107.132911672967,97.84473699,0,0,913.302321966944,0,NA
2013,480,690,41,56.29544064,41,50.665896576,1373.05952780488,1235.75357502439,"mirrored export for non-reporter"
2013,480,699,22248,8644.93928958,0,0,388.571525062028,0,NA
2013,480,702,0,0,160,330.0274327,0,2062.671454375,NA
2013,480,710,24500,25988.77420722,24860,24805.79578864,1060.76629417224,997.819621425583,NA
2013,480,724,32,121.68786095,0,0,3802.7456546875,0,NA
2013,480,764,0,0,24313.6579078235,18700,0,769.115041056114,NA
2013,480,784,100,159.26242904,100,143.336186136,1592.6242904,1433.36186136,"mirrored export for non-reporter"
2013,480,842,0,0,1360,3618,0,2660.29411764706,NA
2013,480,894,13500,48738.57157147,2500,7411.045180725,3610.26456084963,2964.41807229,NA
2013,484,32,129857043,41655070,130061305,39750170,320.776363281274,305.62641209851,NA
2013,484,40,8126.55330166634,7422,100,588.2927478,913.302321966943,5882.927478,NA
2013,484,50,2.34035209807927,2,2.34035209807927,1.8,854.572267840126,769.115041056114,"mirrored export for non-reporter"
2013,484,76,99440849,31322610,67724751,18278640,314.987354945049,269.896008919989,NA
2013,484,84,804898,214704,118136.556105137,98085.81,266.746842457057,830.274838151767,NA
2013,484,124,1853.71257608746,1693,0,0,913.302321966944,0,NA
2013,484,152,1315520.57966134,1201468,0,0,913.302321966944,0,NA
2013,484,156,16600.1986804855,15161,0,0,913.302321966944,0,NA
2013,484,170,253692,1357085,233570.05,1256509.47,5349.34093309998,5379.58299876204,NA
2013,484,214,0,0,48,29.7,0,618.75,NA
2013,484,251,108765.736832973,99336,57333.8452088217,46571.91553898,913.302321966944,812.293600217384,NA
2013,484,276,4627.16441024548,4226,0,0,913.302321966943,0,NA
2013,484,320,80073,205053,80073,205053,2560.82574650631,2560.82574650631,NA
2013,484,340,91,200,91,180,2197.8021978022,1978.02197802198,"mirrored export for non-reporter"
2013,484,348,4758.55573282699,4346,166,323,913.302321966944,1945.78313253012,NA
2013,484,381,151,902,0,0,5973.50993377483,0,NA
2013,484,404,110.587696506104,101,0,0,913.302321966944,0,NA
2013,484,604,257,190,0,0,739.299610894942,0,NA
2013,484,608,44,134,0,0,3045.45454545455,0,NA
2013,484,630,462.05948441164,422,462.05948441164,379.8,913.302321966944,821.972089770249,"mirrored export for non-reporter"
2013,484,642,5148.3499898188,4702,107.643194555546,82.79,913.302321966944,769.115041056114,NA
